
    1   MOLECULE-1 nconf=1 norient=1 nmep=1/2
    2   MOLECULE-1 nconf=1 norient=2 nmep=2/2

iqopt   irstrnt  ihfree     qwt
  2      1      1        0.001000

          Point charges before & after optimization
   No. At.No.     q0            q(opt)     Ivary    d(rstr)/dq
    1   6      -0.088563      -0.022251      0       0.009761
    2   1       0.081874       0.055763      0       0.000000
    3   1       0.094876       0.055763      2       0.000000
    4   1       0.041838       0.055763      2       0.000000
    5   7      -0.625296      -0.625296     -1       0.001579
    6   1       0.383760       0.383760     -1       0.000000
    7   6       0.066851       0.066851     -1       0.008313
    8   1       0.104884       0.104884     -1       0.000000
    9   6       0.586236       0.586236     -1       0.001682
   10   8      -0.545989      -0.545989     -1       0.001802
   11   6      -0.231924      -0.287822      0       0.003282
   12   1       0.072073       0.085575      0       0.000000
   13   1       0.077758       0.085575     12       0.000000
   14   1       0.075624       0.085575     12       0.000000
   15   6      -0.090832      -0.063558      0       0.008440
   16   1       0.080756       0.089366      0       0.000000
   17   1       0.115633       0.089366     16       0.000000
   18  16      -0.314925      -0.314925     -1       0.003026
   19   6      -0.204835      -0.204835     -1       0.004387
   20   1       0.198082       0.198082     -1       0.000000
   21   6      -0.089961      -0.089961     -1       0.007434
   22   1       0.136383       0.136383     -1       0.000000
   23   6       0.201925       0.201925     -1       0.004438
   24   6      -0.145721      -0.145721     -1       0.005658
   25   6      -0.088357      -0.088357     -1       0.007494
   26   1       0.135978       0.135978     -1       0.000000
   27   6       0.020711       0.020711     -1       0.009792
   28   7       0.745967       0.745967     -1       0.001329
   29   8      -0.445180      -0.445180     -1       0.002192
   30   8      -0.445180      -0.445180     -1       0.002192
   31   6       0.556099       0.556099     -1       0.001770
   32   8      -0.424077      -0.424077     -1       0.002295
   33   7      -0.320641      -0.320641     -1       0.002977
   34   1       0.250829       0.250829     -1       0.000000
   35   6       0.203572       0.203572     -1       0.004409
   36   6      -0.285186      -0.285186     -1       0.003309
   37   1       0.134097       0.134097     -1       0.000000
   38   6       0.268610       0.268610     -1       0.003489
   39   1       0.081194       0.081194     -1       0.000000
   40   7      -0.567660      -0.567660     -1       0.001735
   41   6       0.268610       0.268610     -1       0.003489
   42   1       0.081194       0.081194     -1       0.000000
   43   6      -0.285186      -0.285186     -1       0.003309
   44   1       0.134097       0.134097     -1       0.000000

   45   6      -0.088563      -0.022251      1       0.009761
   46   1       0.081874       0.055763      2       0.000000
   47   1       0.094876       0.055763      2       0.000000
   48   1       0.041838       0.055763      2       0.000000
   49   7      -0.625296      -0.625296     -1       0.001579
   50   1       0.383760       0.383760     -1       0.000000
   51   6       0.066851       0.066851     -1       0.008313
   52   1       0.104884       0.104884     -1       0.000000
   53   6       0.586236       0.586236     -1       0.001682
   54   8      -0.545989      -0.545989     -1       0.001802
   55   6      -0.231924      -0.287822     11       0.003282
   56   1       0.072073       0.085575     12       0.000000
   57   1       0.077758       0.085575     12       0.000000
   58   1       0.075624       0.085575     12       0.000000
   59   6      -0.090832      -0.063558     15       0.008440
   60   1       0.080756       0.089366     16       0.000000
   61   1       0.115633       0.089366     16       0.000000
   62  16      -0.314925      -0.314925     -1       0.003026
   63   6      -0.204835      -0.204835     -1       0.004387
   64   1       0.198082       0.198082     -1       0.000000
   65   6      -0.089961      -0.089961     -1       0.007434
   66   1       0.136383       0.136383     -1       0.000000
   67   6       0.201925       0.201925     -1       0.004438
   68   6      -0.145721      -0.145721     -1       0.005658
   69   6      -0.088357      -0.088357     -1       0.007494
   70   1       0.135978       0.135978     -1       0.000000
   71   6       0.020711       0.020711     -1       0.009792
   72   7       0.745967       0.745967     -1       0.001329
   73   8      -0.445180      -0.445180     -1       0.002192
   74   8      -0.445180      -0.445180     -1       0.002192
   75   6       0.556099       0.556099     -1       0.001770
   76   8      -0.424077      -0.424077     -1       0.002295
   77   7      -0.320641      -0.320641     -1       0.002977
   78   1       0.250829       0.250829     -1       0.000000
   79   6       0.203572       0.203572     -1       0.004409
   80   6      -0.285186      -0.285186     -1       0.003309
   81   1       0.134097       0.134097     -1       0.000000
   82   6       0.268610       0.268610     -1       0.003489
   83   1       0.081194       0.081194     -1       0.000000
   84   7      -0.567660      -0.567660     -1       0.001735
   85   6       0.268610       0.268610     -1       0.003489
   86   1       0.081194       0.081194     -1       0.000000
   87   6      -0.285186      -0.285186     -1       0.003309
   88   1       0.134097       0.134097     -1       0.000000


        Statistics of the fitting:
  The initial sum of squares (ssvpot)                      1.220
  The residual sum of squares (chipot)                     0.019
  The std err of estimate (sqrt(chipot/N))               0.00221
  ESP relative RMS (SQRT(chipot/ssvpot))                 0.12429
  The Pearson correlation coefficient (r2)               0.98423
